price,discount,day_of_week,is_weekend,is_campaign,stock_level,competitor_price,units_sold
879,44,5,1,0,126,721,97
132,5,6,1,0,103,880,63
147,36,1,0,1,172,967,130
602,32,5,0,1,108,889,98
506,21,6,0,1,122,685,80
673,20,1,1,0,368,536,71
827,5,5,0,0,100,306,19
904,5,1,1,1,355,487,61
198,47,1,1,1,215,579,156
783,3,6,1,0,26,890,37
971,29,1,0,0,283,986,53
825,10,1,1,0,182,937,37
646,29,6,1,0,125,439,73
838,30,3,1,1,358,968,107
712,23,0,1,0,477,439,61
561,8,2,1,0,190,303,57
742,2,4,0,0,100,260,18
868,30,2,1,1,91,639,110
104,39,2,1,1,333,491,161
317,36,5,0,0,458,868,90
602,35,0,1,0,123,776,91
866,23,5,0,0,266,674,35
497,30,0,1,1,67,633,129
970,5,6,0,1,163,169,48
894,1,6,0,1,374,992,31
492,19,0,1,0,413,504,66
306,27,1,1,1,125,707,116
114,10,3,1,0,352,774,84
957,3,1,0,0,275,690,13
653,14,3,0,0,324,616,32
991,5,5,0,1,212,927,30
560,48,3,1,0,50,219,116
790,29,5,0,1,114,913,92
674,37,6,0,1,398,789,92
963,1,2,1,0,387,787,25
842,14,6,0,0,202,316,28
340,10,6,0,1,410,155,71
663,7,2,1,0,287,465,56
195,25,3,0,1,363,798,116
999,44,3,1,0,246,603,90
833,43,5,1,1,434,843,115
584,4,1,1,1,230,866,74
506,5,5,1,1,77,554,78
330,25,1,1,1,206,203,129
848,3,6,0,0,265,176,20
754,18,2,0,0,148,329,34
270,19,6,1,1,321,357,110
640,32,0,1,1,444,363,125
135,19,3,0,0,158,430,75
624,48,1,1,0,108,281,114
259,11,5,1,0,85,992,82
938,46,2,1,0,291,867,90
798,0,1,0,0,380,649,3
342,25,5,0,0,412,787,77
185,13,3,1,1,118,126,117
895,37,6,1,0,197,375,74
677,36,3,0,0,208,751,79
781,10,4,0,1,312,398,55
656,35,0,1,0,336,898,83
673,12,4,1,0,163,190,47
745,42,2,0,0,49,579,76
895,2,1,0,0,142,672,1
127,32,2,0,0,414,557,93
719,5,6,1,1,471,550,70
655,49,5,0,0,141,464,88
439,9,3,1,1,288,958,90
897,4,4,0,1,371,774,37
430,22,4,0,0,93,450,54
739,9,6,0,1,408,754,64
605,43,4,0,0,251,499,83
447,1,6,1,1,125,352,71
572,12,2,1,1,118,880,97
330,39,3,0,0,230,980,83
289,1,1,1,0,401,902,66
324,19,5,0,0,50,558,61
484,0,1,0,0,377,798,16
476,36,2,0,0,156,598,71
382,8,5,0,1,121,607,78
732,16,4,1,1,112,403,92
727,8,0,0,1,55,600,60
844,10,2,0,1,421,902,55
358,14,2,1,1,484,697,99
458,23,3,0,1,333,265,91
809,37,1,0,1,387,514,85
555,34,2,0,0,280,561,73
510,29,2,1,0,492,213,81
748,30,4,0,1,430,532,83
417,48,4,1,1,394,455,155
776,4,5,0,0,204,794,24
324,43,6,0,0,376,306,99
918,49,6,1,0,289,867,103
333,13,0,0,0,292,334,42
783,10,6,0,1,49,541,55
763,8,3,1,0,456,454,33
926,33,0,1,1,198,614,107
473,11,5,1,1,173,307,91
771,34,4,1,1,491,808,108
707,34,6,1,0,486,952,76
571,0,1,0,0,33,224,20
332,39,4,1,1,33,237,134
791,21,3,0,1,499,438,72
212,28,4,0,1,13,636,119
929,7,3,0,0,332,167,14
596,10,3,1,1,299,672,82
541,40,3,1,0,450,640,109
663,36,5,0,1,442,482,100
367,13,3,1,1,480,118,101
609,29,3,1,1,190,782,115
906,34,1,1,0,257,549,67
485,20,0,1,0,125,173,76
486,36,2,0,1,288,672,101
212,4,0,0,0,374,764,44
712,18,3,1,1,78,375,97
724,13,1,0,0,360,147,24
180,25,4,1,0,263,310,104
798,3,1,1,0,190,954,39
212,24,3,0,1,327,750,96
101,44,1,0,0,178,721,119
741,41,6,0,0,322,794,69
319,24,1,1,1,258,639,119
665,17,3,0,1,197,808,71
954,39,5,1,1,63,290,107
835,7,6,0,1,335,414,38
324,38,1,0,0,366,662,92
484,39,2,1,0,322,760,102
502,13,2,1,0,147,879,63
737,31,1,1,0,177,661,83
229,37,5,1,0,400,999,108
152,32,4,1,1,112,857,145
783,22,3,1,0,431,212,65
829,14,2,1,0,94,269,58
771,32,4,1,0,326,567,86
809,24,1,0,1,221,777,75
515,16,4,1,1,12,113,96
346,32,6,1,0,393,814,105
935,46,0,0,1,188,387,93
538,1,2,1,1,351,288,65
302,13,1,0,1,312,254,85
283,39,3,0,1,461,666,121
222,39,5,1,1,485,793,145
500,38,6,0,1,341,821,113
866,5,1,1,1,47,987,62
393,5,3,0,0,429,570,36
379,2,5,0,0,248,174,25
936,6,5,0,1,178,376,47
983,7,1,1,0,462,744,40
709,41,6,1,0,406,442,92
297,14,4,0,1,352,524,77
610,46,4,0,0,323,670,78
851,28,5,1,1,315,610,107
243,32,4,1,1,39,956,128
708,29,0,0,1,199,281,79
300,38,5,0,0,366,557,95
223,26,5,1,0,34,950,88
286,35,3,1,0,121,932,112
425,28,4,1,0,420,163,91
563,37,6,1,1,444,938,121
448,32,5,1,1,215,359,134
870,36,6,0,0,194,292,56
759,26,0,1,1,391,754,100
863,32,3,0,1,388,715,87
502,3,1,1,0,56,505,52
445,21,6,0,1,383,825,83
610,1,5,1,0,237,853,48
246,9,0,1,1,48,820,104
247,4,2,0,0,25,192,34
963,9,0,0,1,31,529,46
810,32,0,1,1,222,753,102
919,37,3,1,0,319,533,72
588,12,1,1,0,158,503,60
739,30,2,1,0,465,533,71
650,46,4,1,0,250,211,109
437,35,4,0,1,281,474,115
971,44,6,0,1,68,158,90
740,23,0,1,0,296,142,57
878,14,3,0,1,435,306,59
572,28,3,0,0,211,879,56
250,7,4,0,0,41,395,57
514,4,6,1,1,452,217,87
397,28,6,0,1,171,631,97
710,46,6,1,0,264,321,95
362,3,2,0,0,263,265,38
863,11,1,1,0,18,742,48
243,44,2,0,1,474,255,127
445,1,5,1,1,148,283,72
723,26,5,1,1,489,189,99
671,30,1,0,1,19,193,99
980,35,4,1,0,223,112,76
101,35,1,1,0,282,933,113
996,25,3,1,0,333,904,60
403,42,5,1,0,57,841,107
353,26,0,1,0,445,933,92
751,4,0,1,0,120,903,43
552,19,4,1,1,162,537,106
136,10,3,1,1,132,637,110
259,9,2,0,0,414,686,53
108,39,3,0,0,366,975,99
332,37,0,1,1,111,910,141
198,5,0,1,1,250,249,101
758,7,5,0,1,330,759,53
915,22,3,0,1,200,107,73
307,46,3,0,0,226,128,101
230,25,0,1,0,60,395,100
503,45,2,0,0,301,820,93
251,42,4,1,0,90,739,111
153,11,6,1,0,498,439,72
219,25,4,0,1,392,727,108
772,12,3,1,0,97,538,58
727,39,4,1,1,203,243,119
686,17,0,1,0,113,929,64
724,24,0,1,0,280,846,73
519,32,3,0,0,105,618,72
521,46,3,0,0,432,144,82
203,39,6,1,0,388,338,110
951,42,6,1,1,207,254,121
353,11,5,0,1,10,280,86
326,43,3,1,1,416,314,151
211,35,2,0,0,387,187,88
609,47,4,1,0,176,355,112
572,3,3,1,1,135,610,84
198,4,1,0,0,322,172,38
252,36,5,0,0,90,278,85
960,7,1,0,1,427,311,40
995,41,0,0,0,260,904,56
977,48,6,1,1,178,333,114
437,27,4,0,0,486,564,70
805,30,3,1,1,82,850,98
921,8,1,0,0,150,322,12
262,28,4,0,0,79,730,68
819,13,0,1,1,271,924,87
780,39,6,0,0,349,363,70
260,40,2,0,0,317,306,97
679,21,5,0,1,254,706,73
900,10,4,0,0,12,984,24
497,22,4,1,1,346,833,108
376,0,2,1,0,72,465,56
915,45,4,0,0,58,375,63
603,36,0,0,0,85,479,82
995,20,0,0,0,377,842,33
491,25,2,1,1,184,408,104
234,45,5,1,0,118,730,115
294,35,3,1,1,192,367,141
500,22,1,1,0,201,884,68
739,0,3,0,0,74,163,19
132,39,4,0,0,346,909,92
787,14,1,0,0,460,449,40
559,20,2,1,1,483,593,97
982,46,2,0,1,280,622,96
569,8,5,1,1,109,197,88
474,8,1,1,1,41,170,96
121,9,0,0,0,361,463,47
849,25,1,0,1,137,669,67
769,40,4,0,1,461,901,93
137,34,0,1,0,411,862,108
329,24,6,1,0,378,375,90
464,25,6,0,0,348,149,65
662,10,6,0,0,52,457,40
537,37,2,1,1,381,827,130
875,1,1,0,1,428,663,46
382,6,6,1,0,497,882,57
126,17,3,1,0,87,584,85
325,26,5,0,0,323,183,65
376,33,3,0,1,298,998,118
897,26,6,0,1,279,904,82
708,16,5,0,0,171,737,33
383,42,4,1,0,198,907,115
978,43,3,1,1,256,683,115
580,23,1,1,0,397,395,77
552,24,1,0,0,225,335,60
928,6,3,1,1,324,155,71
915,5,6,0,0,422,459,15
758,23,1,0,1,348,209,78
615,32,4,0,0,399,291,67
646,48,0,0,0,386,192,97
291,28,6,0,1,490,961,104
148,42,4,0,1,442,667,144
611,21,5,1,0,177,159,67
116,25,4,0,1,348,749,110
271,27,6,1,0,202,138,101
319,49,5,1,0,462,639,135
257,20,6,0,1,292,148,97
576,48,1,0,0,345,519,95
145,6,0,0,0,399,736,49
472,16,6,1,1,497,112,109
617,19,6,0,1,22,135,85
198,40,1,1,0,249,200,125
991,48,2,0,1,329,893,98
844,19,1,0,1,455,185,74
136,21,5,1,1,492,615,125
379,27,1,1,1,156,322,125
448,39,1,0,0,213,437,89
596,48,0,1,0,89,265,112
401,6,1,1,0,388,482,57
280,0,6,1,1,52,955,86
706,31,0,1,1,467,994,106
198,12,3,1,1,98,475,99
799,29,2,0,1,157,570,83
215,22,0,0,1,104,889,110
290,18,5,1,1,461,741,107
352,31,3,0,1,437,130,111
260,29,0,0,0,160,474,89
355,28,0,1,0,11,110,89
422,48,2,0,1,385,401,136
227,44,6,1,1,31,195,153
117,28,5,1,1,380,289,126
892,29,4,0,0,322,552,40
834,15,4,1,0,494,291,47
665,39,0,1,1,337,585,122
669,18,1,1,1,16,365,102
422,17,5,1,0,215,523,78
971,0,3,1,0,449,227,17
785,13,1,0,0,384,337,30
891,46,1,0,0,460,454,70
725,49,5,1,1,123,211,130
387,1,6,1,0,281,927,53
953,27,0,0,0,92,545,37
762,48,0,1,1,188,442,136
738,49,0,0,0,219,244,87
254,29,0,1,0,473,164,100
589,37,4,1,0,337,346,104
485,3,0,1,1,133,834,74
884,0,4,1,0,490,589,28
203,7,4,1,1,122,924,105
492,28,6,1,1,21,538,119
910,38,0,1,0,135,205,90
345,2,2,0,0,62,280,28
275,31,3,0,0,340,283,82
138,9,1,0,0,398,325,62
576,9,4,1,1,292,876,80
781,18,5,1,0,149,889,60
858,45,5,1,0,410,188,94
637,33,3,1,0,399,787,85
966,32,5,1,1,106,629,101
917,22,2,1,0,14,470,64
507,27,5,1,0,66,498,85
624,31,1,0,1,421,205,99
927,49,1,1,1,343,370,135
605,6,4,0,0,78,930,18
924,28,0,0,0,127,602,38
135,7,6,1,0,385,778,76
784,0,2,1,0,68,624,33
119,2,4,0,0,42,948,39
420,23,2,0,1,327,131,99
875,22,0,1,1,59,492,81
611,7,5,1,0,377,139,54
499,46,5,0,0,498,759,97
753,36,6,1,1,28,317,125
982,2,0,1,0,223,830,25
570,32,4,1,0,206,181,93
242,27,6,0,0,388,944,81
191,46,0,0,0,459,819,117
453,7,3,0,0,487,300,32
933,33,1,1,1,56,546,101
899,34,6,1,0,176,943,80
826,31,6,0,0,461,527,64
953,23,4,0,0,298,137,31
150,13,2,0,1,150,310,91
764,31,3,1,1,93,543,104
797,45,4,0,1,191,426,113
674,42,0,0,1,400,860,116
289,15,0,1,0,88,326,84
224,3,0,1,1,224,147,91
249,36,0,1,0,23,117,110
413,20,2,0,0,224,538,58
669,13,3,1,1,412,906,82
441,30,5,1,1,137,807,127
404,47,1,0,1,319,286,137
791,17,2,1,1,486,444,80
781,6,2,0,1,257,323,58
937,9,5,0,0,413,929,6
882,6,5,1,1,38,587,54
153,32,1,1,1,289,976,141
543,22,1,1,1,347,948,96
712,20,5,1,0,328,328,57
363,18,0,1,1,211,489,114
152,47,2,1,0,370,688,125
671,18,4,0,1,66,287,73
719,35,1,0,1,401,957,89
104,28,1,1,0,227,369,96
202,17,5,0,1,71,706,91
295,1,3,1,0,166,409,63
873,0,4,0,0,211,231,4
976,46,4,0,0,26,650,62
983,4,1,0,1,331,171,33
449,19,0,1,1,15,892,114
146,10,3,0,1,67,944,80
966,41,4,1,0,334,771,90
922,1,1,0,1,421,286,44
919,2,4,0,0,327,585,7
755,22,6,0,1,178,290,78
368,11,3,0,0,462,521,55
469,19,3,0,0,91,219,60
735,4,6,1,0,483,319,31
205,36,2,1,1,477,152,147
769,37,6,0,0,434,833,60
758,29,5,0,0,442,550,49
756,8,5,0,0,228,511,30
219,33,1,0,0,186,742,84
930,43,3,1,0,213,336,93
886,34,2,0,0,80,857,59
703,21,2,1,1,396,837,101
157,43,4,0,1,275,819,132
445,23,4,1,0,107,505,80
840,16,6,0,1,354,707,55
573,9,2,0,1,300,521,64
216,29,6,1,0,217,811,93
929,45,6,0,0,11,346,72
890,22,4,0,0,133,171,39
226,31,3,0,1,289,929,108
492,16,6,1,0,83,284,76
740,49,0,0,1,175,105,112
157,16,3,0,0,31,305,56
733,13,2,1,1,163,643,84
612,8,2,1,0,436,710,46
850,39,6,1,0,448,486,81
901,1,3,0,1,304,867,37
195,44,4,0,1,228,798,133
737,24,4,0,1,166,175,87
217,38,5,1,1,239,276,140
659,8,2,0,1,29,926,66
700,21,1,0,1,484,898,70
587,42,5,1,0,50,448,102
336,45,4,1,1,447,354,140
984,3,3,1,0,157,936,24
996,25,4,1,0,117,801,51
371,28,3,1,1,412,407,124
288,44,5,0,0,93,444,97
803,33,2,1,1,492,226,107
546,22,4,0,1,376,386,86
680,36,6,0,0,331,865,60
889,10,3,1,0,423,824,40
960,5,2,1,1,318,861,63
346,17,1,1,1,299,695,99
175,20,3,0,0,415,586,80
253,41,5,1,0,332,482,114
755,35,1,1,0,143,505,85
534,40,1,1,0,216,487,110
185,37,0,1,1,292,624,138
796,33,4,1,1,275,656,105
384,16,3,0,1,82,738,84
319,36,1,0,1,490,725,125
168,24,0,0,0,361,375,78
146,37,5,1,0,57,599,113
193,11,2,1,1,335,816,100
849,22,6,1,1,242,436,80
552,41,6,0,1,452,580,114
303,21,3,1,1,109,996,116
317,20,1,1,1,68,372,107
573,26,6,1,1,267,157,117
531,30,4,0,1,422,427,91
440,5,6,1,1,461,830,91
650,26,6,0,1,74,208,77
711,39,6,1,0,92,378,83
388,33,0,0,1,163,785,111
353,11,1,0,0,482,427,43
833,44,4,0,0,275,875,73
456,6,1,1,1,318,414,91
122,9,3,1,1,88,573,110
861,44,3,0,0,324,210,68
621,16,3,0,0,159,798,50
857,25,5,1,1,444,880,100
936,20,6,1,0,57,328,51
199,27,5,0,1,414,596,112
901,45,0,1,1,388,255,116
279,1,3,1,1,257,572,81
322,42,4,1,0,287,800,115
861,0,1,1,0,365,371,25
758,35,6,0,1,107,986,90
541,25,2,1,0,423,101,84
707,28,4,1,0,34,857,72
868,20,6,0,0,293,821,40
424,10,5,0,0,458,610,35
615,39,5,1,0,378,385,105
115,10,4,1,0,310,970,78
891,35,5,1,0,77,112,81
435,48,3,1,1,16,707,142
858,38,0,0,0,314,597,59
357,39,1,0,0,146,832,91
596,34,0,0,0,173,337,75
995,33,6,1,0,92,193,64
259,46,1,1,0,394,437,128
574,23,1,1,0,147,880,83
951,21,0,1,0,429,270,45
763,4,4,0,0,82,705,14
789,32,1,0,1,246,760,85
774,35,0,1,0,55,723,92
479,46,1,0,0,115,666,99
644,19,2,1,0,425,948,59
790,18,4,1,0,297,566,65
526,34,3,0,1,271,727,96
712,42,1,1,1,185,242,129
367,16,2,1,1,175,300,102
934,44,3,0,1,154,279,104
676,42,3,1,1,339,813,131
516,33,6,1,1,379,463,115
267,8,1,0,1,292,578,83
941,25,0,1,1,63,664,88
142,1,1,0,1,187,570,77
655,8,2,1,1,428,483,81
384,8,3,0,1,253,791,68
496,39,1,0,1,350,516,117
111,16,0,0,1,136,924,94
706,0,6,1,1,418,407,59
401,24,1,0,1,421,748,86
997,42,4,0,1,376,793,91
352,39,6,0,0,280,466,96
598,41,0,0,1,141,100,105
853,24,2,0,0,102,143,44
134,38,3,1,1,388,838,140
826,34,1,1,1,82,942,108
948,2,0,1,0,420,197,25
189,49,6,1,1,419,819,169
875,36,4,1,0,412,364,83
704,43,0,1,0,257,899,96
701,43,5,1,0,357,882,105
517,29,4,0,1,282,239,104
214,37,6,1,1,52,580,145
716,33,2,0,1,386,336,99
295,11,3,0,0,50,171,54
925,18,6,1,0,179,766,55
600,36,2,0,1,443,289,107
725,43,1,0,1,221,367,106
592,48,0,0,1,177,420,115
174,16,5,0,1,48,206,95
512,9,4,1,1,378,331,82
475,48,4,1,0,254,141,122
519,46,0,1,0,160,801,107
828,11,5,1,0,120,982,45
376,15,0,1,1,489,238,110
860,23,1,1,0,445,714,63
775,18,2,1,0,56,782,58
493,7,6,1,0,72,962,58
968,30,4,1,0,234,372,73
556,20,1,1,0,375,580,80
291,16,2,0,1,78,515,93
838,22,1,1,0,308,605,59
788,36,5,0,1,441,832,91
198,15,4,0,1,299,824,101
647,5,6,0,1,305,952,45
195,7,0,0,1,212,523,73
763,24,0,1,1,70,506,100
762,17,2,0,0,443,667,28
289,24,6,1,0,460,489,96
835,11,3,1,1,327,441,66
136,14,5,0,1,323,713,91
879,25,2,1,1,170,592,88
468,40,3,0,0,340,291,91
794,44,1,0,1,25,598,111
624,25,5,1,0,347,921,72
378,46,1,1,1,103,811,152
316,31,6,0,0,313,332,82
966,9,4,1,1,147,326,59
972,15,5,1,0,347,470,52
897,6,3,1,1,47,238,71
372,16,4,0,0,136,955,59
980,22,0,0,0,284,916,41
161,25,3,1,0,173,248,90
695,20,2,1,0,452,214,64
979,21,0,1,0,328,549,54
828,6,0,1,0,86,162,44
441,13,2,1,0,183,203,71
496,14,5,0,1,396,950,77
798,6,0,1,1,467,970,73
118,8,6,0,1,367,767,88
276,47,3,1,1,330,372,163
711,7,4,0,1,385,105,58
495,49,0,1,0,100,246,118
544,22,3,0,0,247,283,63
332,28,1,1,0,273,127,87
175,17,3,0,0,188,649,62
364,30,4,0,0,499,218,79
554,29,3,0,1,218,392,98
895,38,2,0,1,82,470,94
817,34,4,0,1,399,343,91
834,17,5,0,1,116,679,61
483,41,1,1,0,354,825,97
663,38,2,0,0,304,317,81
950,16,5,1,0,378,276,46
605,13,3,1,1,453,398,97
466,30,4,1,0,293,775,98
243,23,1,1,1,362,157,123
984,34,2,1,0,191,368,61
168,43,5,0,0,46,407,114
198,44,5,0,1,146,669,145
495,33,1,0,0,347,387,80
124,2,6,1,0,65,204,60
990,36,3,0,1,196,327,76
568,42,1,0,0,350,346,75
583,39,5,0,1,267,799,101
664,25,0,0,0,454,593,51
250,22,2,0,0,67,182,75
243,43,1,1,0,372,285,117
668,38,6,0,0,132,351,75
138,14,5,1,0,197,454,89
208,48,3,1,0,239,849,136
792,3,5,1,0,177,971,26
141,28,3,1,0,429,795,106
285,21,1,1,1,123,895,120
497,24,3,0,1,261,996,88
322,12,4,0,0,116,309,52
733,17,4,0,0,46,915,35
232,32,4,1,1,344,907,134
262,15,6,0,0,101,708,49
314,44,6,0,0,27,546,95
832,41,0,1,1,363,559,127
334,43,6,1,0,72,571,117
942,1,1,1,0,159,819,24
757,34,5,1,1,148,469,115
850,41,5,0,0,195,999,69
687,33,0,1,0,194,591,92
108,29,6,1,1,214,236,142
173,12,3,0,0,269,466,49
591,12,0,0,1,223,283,64
352,17,3,1,0,265,687,79
329,31,3,0,0,144,386,81
618,31,2,1,1,70,571,122
273,34,5,1,1,372,474,145
752,38,4,0,0,319,753,73
267,45,6,0,1,97,848,131
269,28,3,1,1,333,636,136
492,48,2,1,0,485,610,116
894,28,5,1,0,216,901,63
733,43,4,0,0,138,678,84
293,15,3,1,1,320,349,112
616,43,3,1,1,12,609,142
128,46,0,1,1,471,729,157
264,9,0,1,1,431,172,98
521,29,5,1,0,251,381,89
438,24,4,0,1,130,459,91
747,38,3,1,0,394,109,94
595,19,5,1,1,111,310,100
464,4,5,1,0,47,934,54
932,0,1,1,0,350,251,29
441,29,6,0,0,422,104,80
599,48,0,0,1,142,294,116
756,2,4,0,0,211,382,21
610,44,3,1,0,357,563,103
426,13,5,1,1,30,212,89
316,29,3,0,0,251,370,84
400,49,1,0,1,464,262,131
231,3,4,0,1,460,559,67
903,17,5,1,0,118,204,50
169,36,3,1,0,312,792,110
351,24,0,0,1,93,655,93
514,47,6,0,0,92,381,96
886,0,1,0,1,300,786,35
544,45,4,1,1,461,261,143
975,14,1,1,1,78,450,63
281,8,0,1,0,138,533,64
266,14,4,0,1,205,951,79
190,48,1,0,0,149,239,104
813,23,2,1,0,453,570,53
957,3,0,0,0,292,231,14
630,11,0,1,0,321,186,62
138,36,0,0,1,243,787,133
225,36,2,0,0,32,282,101
550,42,2,0,1,162,467,117
272,5,3,0,1,286,228,65
752,38,5,1,0,70,345,79
853,45,6,0,1,328,700,97
319,23,1,1,1,387,677,120
737,10,3,1,0,61,769,54
157,12,1,1,1,353,998,110
759,33,6,0,1,162,477,82
575,24,5,1,1,246,248,112
555,6,2,1,1,320,951,72
928,3,5,1,0,311,532,36
994,7,2,0,1,41,727,48
460,19,6,0,1,64,825,90
100,28,5,1,1,361,568,145
486,44,3,0,1,398,545,119
447,45,4,1,0,45,580,105
289,9,3,1,1,119,983,98
604,42,1,0,0,499,393,90
290,33,3,1,1,186,864,125
607,25,6,0,0,371,242,48
468,40,0,0,0,323,349,91
508,48,1,1,0,304,977,117
923,2,5,0,0,345,401,3
216,5,1,0,0,106,124,53
233,4,4,1,1,378,888,85
157,4,2,1,1,222,988,100
655,46,5,0,1,326,989,111
784,22,1,0,0,146,169,38
771,48,5,1,1,15,724,131
272,8,5,0,0,118,974,53
928,34,5,0,0,44,211,54
914,19,2,0,1,48,463,58
248,48,6,0,1,159,402,138
179,41,3,0,0,434,570,101
985,34,5,0,0,127,190,60
312,49,0,0,1,270,629,144
302,17,6,1,1,435,760,119
863,16,4,1,1,96,838,78
328,23,2,1,1,474,825,122
775,2,1,1,0,85,971,27
326,31,2,1,1,480,762,127
758,34,1,0,1,473,291,91
631,37,2,0,1,460,651,105
540,12,1,0,0,423,341,39
501,46,5,0,0,322,237,86
146,24,3,1,0,392,444,104
332,8,1,0,0,223,279,50
404,3,1,0,1,466,811,68
625,13,0,1,0,294,602,50
242,36,1,0,1,248,302,130
514,33,0,0,1,174,672,97
612,10,4,1,1,96,291,78
472,40,5,0,1,150,104,125
665,2,0,0,0,169,989,23
985,27,3,0,0,55,336,48
358,28,6,0,0,381,792,78
755,8,5,0,1,121,410,45
570,2,0,1,1,416,648,76
111,24,5,1,1,54,155,123
429,33,5,1,1,410,542,127
835,11,5,1,1,256,336,76
883,41,4,1,0,113,969,86
457,8,3,1,1,94,960,87
507,14,2,0,0,459,296,42
767,39,2,1,1,494,684,112
472,24,0,1,1,143,670,117
107,4,5,0,0,117,851,53
